Voltage_V,Current_mA,Current_mA_L310,Current_mA_L2780
0,-0.007,-0.185,-0.915
0.5,-0.01,-0.18,-0.909
1,0.004,-0.17,-0.899
1.5,0.017,-0.143,-0.875
2,0.033,-0.104,-0.858
2.5,0.067,-0.091,-0.817
3,0.125,-0.042,-0.765
3.5,0.238,0.065,-0.651
4,0.437,0.281,-0.431
4.5,0.797,0.629,-0.074
5,1.243,1.388,0.776
5.1,1.628,1.725,0.87
5.2,1.923,1.882,1.173
5.3,2.314,2.442,1.394
5.4,2.76,2.651,1.68
5.5,3.325,3.266,2.086
5.6,4.013,3.616,2.786
5.7,4.633,4.521,3.847
5.8,5.217,5.261,4.666
5.9,5.94,6.265,5.767
6,6.998,7.34,6.586
