V,delta_V,I,I_SI,delta_I,delta_I_SI,delta_ln_I
3.2993,1.00E-04,0.201,0.000201,0.001,0.000001,0.004975124
3.3291,1.00E-04,0.207,0.000207,0.001,0.000001,0.004830918
3.3594,1.00E-04,0.214,0.000214,0.001,0.000001,0.004672897
3.3891,1.00E-04,0.22,0.00022,0.001,0.000001,0.004545455
3.4193,1.00E-04,0.227,0.000227,0.001,0.000001,0.004405286
3.4491,1.00E-04,0.234,0.000234,0.001,0.000001,0.004273504
3.4788,1.00E-04,0.241,0.000241,0.001,0.000001,0.004149378
3.5091,1.00E-04,0.248,0.000248,0.001,0.000001,0.004032258
3.5387,1.00E-04,0.256,0.000256,0.001,0.000001,0.00390625
3.569,1.00E-04,0.264,0.000264,0.001,0.000001,0.003787879
3.5988,1.00E-04,0.272,0.000272,0.001,0.000001,0.003676471
3.629,1.00E-04,0.281,0.000281,0.001,0.000001,0.003558719
3.6587,1.00E-04,0.289,0.000289,0.001,0.000001,0.003460208
3.689,1.00E-04,0.299,0.000299,0.001,0.000001,0.003344482
3.7186,1.00E-04,0.308,0.000308,0.001,0.000001,0.003246753
3.7489,1.00E-04,0.318,0.000318,0.001,0.000001,0.003144654
3.7786,1.00E-04,0.328,0.000328,0.001,0.000001,0.00304878
3.8088,1.00E-04,0.339,0.000339,0.001,0.000001,0.002949853
3.8386,1.00E-04,0.35,0.00035,0.001,0.000001,0.002857143
3.8688,1.00E-04,0.361,0.000361,0.001,0.000001,0.002770083
3.8985,1.00E-04,0.373,0.000373,0.001,0.000001,0.002680965
3.9282,1.00E-04,0.386,0.000386,0.001,0.000001,0.002590674
3.9584,1.00E-04,0.399,0.000399,0.001,0.000001,0.002506266
3.9881,1.00E-04,0.412,0.000412,0.001,0.000001,0.002427184
4.0183,1.00E-04,0.426,0.000426,0.001,0.000001,0.002347418
4.0478,1.00E-04,0.441,0.000441,0.001,0.000001,0.002267574
4.0782,1.00E-04,0.456,0.000456,0.001,0.000001,0.002192982
4.1078,1.00E-04,0.472,0.000472,0.001,0.000001,0.002118644
4.1381,1.00E-04,0.488,0.000488,0.001,0.000001,0.00204918
4.1677,1.00E-04,0.505,0.000505,0.001,0.000001,0.001980198
4.1978,1.00E-04,0.524,0.000524,0.001,0.000001,0.001908397
